,adult/accuracy,adult/f1,alarm/syn_likelihood,alarm/test_likelihood,asia/syn_likelihood,asia/test_likelihood,census/accuracy,census/f1,child/syn_likelihood,child/test_likelihood,covtype/accuracy,covtype/macro_f1,covtype/micro_f1,credit/accuracy,credit/f1,grid/syn_likelihood,grid/test_likelihood,gridr/syn_likelihood,gridr/test_likelihood,insurance/syn_likelihood,insurance/test_likelihood,intrusion/accuracy,intrusion/macro_f1,intrusion/micro_f1,mnist12/accuracy,mnist12/macro_f1,mnist12/micro_f1,mnist28/accuracy,mnist28/macro_f1,mnist28/micro_f1,news/r2,ring/syn_likelihood,ring/test_likelihood,timestamp
VEEGANSynthesizer,0.7187916666666667,0.16214153392906325,-18.386072879347,-18.21090727542332,-11.492286773035527,-5.952711599023645,0.7643516666666667,0.05181635667822724,-17.314283585787468,-17.681451873351854,0.21852,0.09591554596683807,0.21852,0.8762583333333334,0.16603037449105235,-8.646858295086131,-423.5732756751199,-11.458545686256633,-8.908475059016894,-18.32582658070821,-18.113418656510373,0.5064133333333333,0.1807969282858515,0.5064133333333333,0.3746833333333333,0.3495709511476633,0.3746833333333333,0.15563333333333332,0.058182612869574775,0.15563333333333332,-319605180.2536416,-16.83063406863265,-6.354959956004122,2020-04-12 09:41:35.096775
CLBNSynthesizer,0.769225,0.3050826982257354,-12.458847776730062,-11.187804608009458,-2.402547106844601,-2.2738035398036582,0.902265,0.2857144781537949,-12.625856634331294,-12.306736987770131,0.56392,0.32963633117493946,0.56392,0.9979375,0.44064264003473735,-3.883163747038106,-9.202143870182695,-4.008392448737879,-7.432801259089948,-15.166803418653993,-13.917634233186915,0.9409900000000001,0.38524307219928194,0.9409900000000001,0.7201,0.7153833005055565,0.7201,0.16315,0.1495857236375801,0.16315,-6.471832491208214,-1.765073421953277,-47.15793612179723,2020-10-17 09:46:54.494331
CTGAN,0.7938083333333333,0.6081788438500754,-15.882040611453954,-13.09755888297466,-4.187959782867199,-2.4554438863569064,0.92329,0.32881475537922683,-14.353520589464262,-12.84035746938658,0.56589,0.3166202007167158,0.56589,0.9977333333333331,0.6597709617487143,-8.760635266641627,-5.062972106881769,-8.30975028471057,-5.048309525940071,-17.02601096082736,-14.972520757144581,0.9828633333333334,0.5405981706770625,0.9828633333333334,0.12231666666666667,0.10811133828947857,0.12231666666666667,0.13775,0.11895840251685445,0.13775,-0.0695980479336148,-6.591323889622507,-2.6652814712856068,2020-10-17 09:46:54.494331
CTGANSynthesizer,0.7975833333333332,0.6024072900154367,-15.220447737150016,-12.928009579165868,-2.6934413098935064,-2.311809822000515,0.9047799999999998,0.3788430324392779,-13.808220335245878,-12.812466377576214,0.5815833333333333,0.3297511068939431,0.5815833333333333,0.9933291666666667,0.5233384030145461,-8.918386257639888,-5.088557286899331,-8.3235783682377,-5.02729290814621,-16.59828761832473,-14.840633545032299,0.9766400000000001,0.510841888605536,0.9766400000000001,0.14675,0.11686066302450297,0.14675,0.11246666666666667,0.10343000020031586,0.11246666666666667,-0.512953590553904,-7.1305860438021,-2.704076182028625,2020-10-17 09:46:54.494331
CopulaGAN,0.78525,0.6066379960376017,-15.688130935352826,-13.052850506606921,-3.9560707433057942,-2.404006665030712,0.8904266666666668,0.3876630696086705,-14.247182148431841,-12.916522341652557,0.5698866666666667,0.3269410746094711,0.5698866666666667,0.9986625,0.7174486803519062,-8.190169410566059,-5.141363329314994,-8.162766717527328,-5.0054700047586005,-16.958479614678584,-14.957669676994856,0.9782566666666668,0.5165884828741659,0.9782566666666668,0.15901666666666667,0.12799112390677475,0.15901666666666667,0.14923333333333333,0.13013304970692416,0.14923333333333333,-0.05557033970743599,-6.20616566233844,-2.8000428445161405,2020-10-17 09:46:54.494331
GaussianCopulaCategorical,,,-12.90637895726414,-15.574882039684239,-2.248123258940747,-3.6121605335572884,0.9376466666666667,0.0,-16.401905754056443,-15.54613676137945,0.42156,0.14001989343757468,0.42156,0.9982500000000001,0.0,-7.235399290973477,-4.511048877959108,-7.164373783184902,-4.54340039167885,-17.83789065848317,-16.578399942622255,0.7920533333333332,0.176792311617512,0.7920533333333332,0.12476666666666665,0.12115568113594884,0.12476666666666665,,,,-5.029096289312759,-3.1969118575393494,-2.150929600900062,2020-10-17 09:46:54.494331
GaussianCopulaCategoricalFuzzy,0.7656583333333332,0.25774794301058557,-14.521543078294528,-14.565063972043111,-2.8296531495866675,-3.1089120272290534,0.7916983333333333,0.05352759896916239,-16.895129048556996,-15.405284080578932,0.4208433333333333,0.138725688557952,0.4208433333333333,0.9815041666666668,0.010344195231790821,-7.344125756946834,-4.565754467063921,-7.14452510526657,-4.554080028497021,-18.028292480215708,-16.517370135590326,0.8436533333333333,0.256446581500444,0.8436533333333333,0.1684,0.15658087458753567,0.1684,0.17601666666666668,0.16419933649147575,0.17601666666666668,-8.655143355730615,-3.1790009711784197,-2.1541484192368308,2020-10-17 09:46:54.494331
GaussianCopulaOneHot,0.779675,0.19804183874894943,-15.47606426425534,-15.666336003342849,-2.313891114432964,-3.2266442243329405,0.9347699999999999,0.13282958089982574,-14.482811564147474,-15.306118214071626,0.5067433333333333,0.1822623775766875,0.5067433333333333,0.9982500000000001,0.0,-7.2680471759666565,-4.5143811301308325,-7.192245751193528,-4.550714962639452,-17.8436989494514,-17.907464139014078,0.9042666666666667,0.3311059480827125,0.9042666666666667,0.48538333333333333,0.45251446727758865,0.48538333333333333,0.4930666666666667,0.45793205773803186,0.4930666666666667,-36.94309380139293,-3.2076243818243637,-2.154493398585112,2020-10-17 09:46:54.494331
IdentitySynthesizer,0.8244250000000002,0.663005703666368,-10.231837319766301,-10.300455282844133,-2.235273550262779,-2.2418810563349894,0.9053300000000001,0.46387521956253003,-12.031407017192643,-12.042614870413173,0.7588866666666666,0.6526211285112319,0.7588866666666666,0.9924833333333334,0.5450177887923539,-3.469963195758185,-3.4858269122773575,-3.592651292234541,-3.641024695029675,-12.849825116234447,-12.95758061997934,0.9991500000000001,0.863171219735825,0.9991500000000001,0.8804833333333333,0.8788821952661944,0.8804833333333333,0.9056000000000001,0.9042761016387536,0.9056000000000001,0.1337394435982955,-1.7111042942197479,-1.703451035904381,2020-10-17 09:46:54.494331
IndependentSynthesizer,0.6381166666666668,0.15110635571339073,-18.239965580769468,-15.818330703303095,-4.968752247425628,-2.988753512235597,0.6642933333333333,0.060412406324127275,-17.95592358989791,-16.03464693532125,0.37622,0.11315464119692444,0.37622,0.8754166666666667,0.0018355285337887182,-3.468036770849641,-3.48576586155574,-5.11787364264798,-4.02899580399772,-18.3796250544208,-17.56638728822536,0.7226433333333334,0.1980384592619079,0.7226433333333332,0.09921666666666668,0.0984034404317139,0.09921666666666668,0.09976666666666667,0.09890937612447066,0.09976666666666667,-0.06127912109193336,-2.466013338017288,-1.9570901612476754,2020-10-17 09:46:54.494331
MedganSynthesizer,0.6180916666666667,0.2433453961687154,-7.838956449109023,-13.255155635363352,-1.5742152421776174,-5.965560306771162,0.639255,0.1364706642749178,-11.11251913336074,-12.986973573520153,0.44453999999999994,0.09113087846316033,0.44453999999999994,0.9386791666666667,0.024402965783611185,-5.8294633121596275,-90.34196023047689,-7.37063381135388,-141.4065766962444,-13.883848507362387,-15.077673696346993,0.8673099999999999,0.27457550684559845,0.8673099999999999,0.37666666666666665,0.3374951525347106,0.37666666666666665,0.10454999999999999,0.05293732645553471,0.10454999999999999,-5.601461962200701,-2.7795664717029234,-149.766976540331,2020-10-17 09:46:54.494331
PrivBNSynthesizer,0.7951916666666666,0.42873150852473224,-12.15366085843059,-11.139605863939801,-2.293589593953942,-2.2446950929837173,0.9032083333333335,0.24471933654987663,-12.360054313694695,-12.187689010356058,0.4689466666666667,0.2147134516253093,0.4689466666666667,0.9601208333333333,0.010973033740343639,-3.9944044881857295,-8.308435277882694,-4.07166054347988,-7.121354377721726,-14.701781488346787,-13.637062384637025,0.9486966666666667,0.38263718890744247,0.9486966666666667,,,,,,,,,,2020-10-17 09:46:54.494331
TVAESynthesizer,0.8030083333333334,0.6188661735370505,-11.441791597785505,-10.760536288430158,-2.293483332856178,-2.266323182185946,0.9344516666666668,0.3823206825483227,-12.45935730548618,-12.295964995911532,0.6547933333333332,0.4564466571953651,0.6547933333333332,0.9982500000000001,0.0,-3.2677909900861404,-5.657797017261816,-3.867225435725924,-3.7082824977322804,-14.295062646940423,-14.236699373059691,0.9746200000000002,0.4327523846094156,0.9746200000000002,0.7791166666666668,0.7758165765222308,0.7791166666666668,0.7692333333333333,0.7669053537723407,0.7692333333333333,-0.24478278355620184,-1.5798412303138274,-1.9399967955436865,2020-10-17 09:46:54.494331
TableganSynthesizer,0.7911833333333332,0.3525372097168393,-12.688843669586861,-11.54235495350539,-3.400134844931124,-2.7208145803287795,0.93663,0.27212013918534034,-15.01679035454709,-13.39289872916671,0.0,0.0,0.0,0.9953666666666666,0.27029911936809264,-6.992157289486403,-5.330743495969986,-6.998887628745389,-4.829217865606727,-16.178127293685083,-14.318762785573938,,,,0.0872,0.07951471393942157,0.0872,0.08291666666666667,0.05639900066265726,0.08291666666666667,-5.820766780081367,-4.740190371698341,-2.533675431723123,2020-10-17 09:46:54.494331
UniformSynthesizer,0.49471666666666664,0.24164087727220654,-18.420680743952342,-18.420680738850233,-14.284940594406173,-5.520019815900497,0.5414083333333334,0.1083230957047831,-18.40946865780995,-18.32427690656556,0.14315000000000003,0.08767397100790973,0.14315000000000003,0.5653125,0.011652048280727287,-7.331618471114251,-4.536867992468601,-7.21790352266468,-4.572075160315928,-18.42068074356396,-18.420676821234775,0.12100666666666667,0.06533388009140621,0.12100666666666667,0.09856666666666668,0.08910843377077772,0.09856666666666669,0.08253333333333333,0.07627349096739104,0.08253333333333335,-4.440410222161723,-5.342137905865251,-2.496906580763587,2020-10-17 09:46:54.494331
